OG_NAME	PHYPA	ORYSJ	MAIZE	Anc5	SOLTU	MEDTR	ARATH	Anc4	Anc3	Anc2	Anc1
AT3G55630	1	0	0	0	5	5	0	5	5	5	1
AT3G52870	0	2	0	2	4	4	2	4	4	4	1
AT3G47890	0	2	2	2	4	4	1	4	4	2	1
AT5G44790	1	0	2	2	4	4	4	4	4	2	1
AT3G16310	1	2	2	2	4	4	4	4	4	2	1
AT1G63050	0	2	0	2	4	4	4	4	4	2	1
AT1G54610	0	0	0	0	4	4	4	4	4	2	1
AT2G45730	1	0	0	0	4	4	4	4	4	4	1
AT2G30520	1	0	0	0	4	4	4	4	4	4	1
AT1G73630	0	0	0	0	5	5	5	5	5	4	1
AT4G00740	1	1	0	1	2	5	5	5	4	4	1
AT3G23920	1	0	0	0	2	5	5	5	5	5	1
AT1G19835	0	0	0	0	0	5	5	5	5	5	1
AT4G01860	1	0	0	0	0	4	4	4	4	4	1
AT1G10130	1	1	0	1	0	4	4	4	4	4	1
AT4G03190	1	0	0	0	2	5	6	3	3	3	1
AT1G51630	0	0	1	1	1	5	5	5	4	1	1
AT4G29720	0	1	1	1	0	4	4	4	1	1	1
AT5G22740	1	1	1	1	1	4	4	4	1	1	1
AT5G23395	1	2	2	2	2	4	4	4	2	2	1
AT5G47780	0	1	1	1	2	4	4	2	2	1	1
AT4G37820	0	0	0	0	2	4	2	2	2	2	1
AT3G59660	1	2	0	2	2	5	2	2	2	2	1
AT3G61570	0	2	0	2	1	4	1	2	1	2	1
OG918_2	0	0	0	0	1	6	0	1	1	1	1
AT4G35920	0	0	1	1	0	6	1	1	1	1	1
AT3G18500	1	0	1	1	0	5	1	2	2	1	1
AT3G02060	0	0	0	0	0	5	1	2	2	2	1
AT5G09240	0	0	0	0	0	5	0	2	2	2	1
OG378_3	1	0	0	0	0	5	0	3	3	3	1
OG557_4	0	0	0	0	0	4	0	4	4	4	1
OG6895_2	0	0	0	0	0	4	0	4	4	4	1
OG557_5	0	0	0	0	0	4	0	4	4	4	1
OG6282_2	0	0	0	0	0	4	0	4	4	4	1
OG2150_3	0	0	0	0	0	4	0	5	5	4	1
OG6201_2	0	0	0	0	0	5	0	5	4	4	1
OG4940_2	1	0	0	0	0	5	0	5	5	5	1
OG5348_2	1	0	0	0	0	5	0	5	5	5	1
OG4050_1	2	0	0	0	0	5	0	5	5	5	1
OG5385_2	0	0	2	2	0	4	0	4	4	4	1
OG5082_2	0	0	0	0	0	2	0	4	4	2	1
OG993_1	0	0	0	0	0	2	0	3	3	3	1
OG4712_2	0	0	0	0	0	2	0	4	4	4	1
AT5G15080	0	0	0	0	0	2	0	4	4	4	1
AT2G40270	0	0	0	0	0	0	0	5	4	4	1
AT2G32160	0	0	0	0	0	0	0	5	4	4	1
AT1G62320	0	0	0	0	0	0	0	4	4	4	1
AT3G01300	0	0	0	0	0	0	2	4	4	4	1
AT3G21465	1	0	0	0	0	0	2	4	4	4	1
AT5G10625	0	0	0	1	0	0	4	4	4	4	1
AT4G04340	0	0	0	0	0	0	4	4	4	4	1
AT3G56050	0	0	0	0	0	0	5	5	4	4	1
AT2G47690	1	0	0	0	0	0	5	5	5	4	1
AT1G12640	1	0	0	0	2	0	4	4	4	2	1
AT3G21190	0	0	0	0	0	0	5	5	4	1	1
AT3G47910	1	0	2	2	0	0	4	4	4	2	1
AT5G24860	0	2	2	4	0	0	0	4	4	4	1
AT5G47070	0	0	1	4	0	0	2	4	4	4	1
AT4G31040	1	0	0	5	0	0	2	3	3	3	1
AT2G20930	1	1	0	4	4	1	4	4	4	4	1
AT1G73240	1	0	0	2	4	0	4	4	4	4	1
AT3G14590	1	0	1	4	4	0	1	4	4	4	1
OG364_3	0	0	1	1	4	0	0	4	4	4	1
OG334_2	0	0	0	0	6	0	0	2	3	3	1
AT4G27740	0	0	0	0	6	0	2	2	2	1	1
AT5G27730	0	0	1	1	5	0	1	1	2	1	1
AT1G53570	0	0	0	0	5	1	1	1	1	1	1
AT4G18880	0	0	0	0	5	0	1	1	1	1	1
AT2G27980	0	0	0	0	4	0	1	1	2	1	1
OG7099_1	1	0	0	0	4	0	0	0	2	2	1
OG455_2	0	2	2	1	4	0	0	0	4	1	1
OG606_2	0	0	0	1	2	0	0	0	4	4	1
OG3755_2	1	1	0	3	0	0	0	0	3	3	1
OG2009_2	0	1	0	3	0	1	0	1	1	3	1
OG3611_3	0	0	0	4	0	0	0	0	0	4	1
OG10321_2	0	0	0	4	0	0	0	0	0	4	1
OG6840_2	1	0	0	4	0	0	0	0	0	4	1
OG5021_2	1	0	0	5	0	0	0	0	0	3	1
OG5510_2	1	0	0	4	2	0	0	0	2	2	1
AT1G67000	0	0	0	4	2	1	0	1	1	1	1
OG660_2	0	0	0	4	0	0	0	0	0	1	1
AT4G36180	0	0	0	4	0	0	1	1	1	1	1
AT5G08130	1	0	0	4	0	1	1	1	1	1	1
AT5G62550	0	2	1	4	0	1	1	1	1	1	1
AT2G41770	0	2	0	2	1	0	2	2	1	1	1
AT5G38720	1	2	0	2	2	0	2	2	2	2	1
AT5G11260	1	2	0	2	2	0	2	2	2	2	1
AT3G62980	1	2	0	2	3	2	3	2	2	2	1
AT2G36480	1	2	0	2	2	2	2	2	2	2	1
AT5G30490	1	2	0	2	2	2	2	2	2	2	1
AT2G31890	1	2	0	2	1	2	2	2	2	1	1
AT3G55160	1	2	0	2	0	2	2	2	2	2	1
OG3979_1	1	2	0	2	0	2	0	2	2	2	1
OG5408_1	1	2	0	2	2	2	0	2	2	2	1
OG10337_1	1	2	0	2	2	2	0	2	2	2	1
AT5G58010	1	1	0	1	2	2	0	2	2	2	1
OG1225_2	0	2	2	2	2	0	0	2	2	2	1
AT5G58920	1	2	2	2	2	0	1	1	2	2	1
AT5G50860	1	2	2	2	1	0	1	2	2	1	1
AT4G32660	1	2	2	2	0	0	2	2	2	2	1
AT1G07030	0	0	0	2	0	0	2	2	2	2	1
AT4G02590	0	0	0	2	0	2	2	2	2	2	1
AT3G14080	0	0	2	2	0	2	2	2	2	2	1
AT5G44450	1	0	2	2	0	2	2	2	2	2	1
AT2G40550	1	0	2	2	0	2	2	2	2	2	1
AT1G17690	1	0	2	2	0	2	2	2	2	2	1
AT3G28430	1	0	2	2	0	2	2	2	2	2	1
AT3G19800	1	0	2	2	0	1	1	1	2	2	1
AT5G61460	1	0	2	2	0	0	1	1	2	1	1
AT1G34770	1	0	2	2	0	0	2	2	2	1	1
AT5G40080	1	0	2	2	0	0	2	2	2	2	1
AT5G09250	1	0	2	2	0	0	2	2	2	2	1
AT1G19690	1	0	2	2	2	0	2	2	2	2	1
AT1G19600	1	0	2	2	2	2	2	2	2	2	1
AT3G10530	1	0	2	2	2	2	2	2	2	2	1
AT5G19130	1	0	2	2	2	2	2	2	2	2	1
AT1G58025	1	0	2	2	2	2	2	2	2	2	1
AT3G47850	1	0	2	2	2	2	1	2	2	2	1
AT3G20230	1	0	1	1	2	2	1	2	2	2	1
AT4G21520	1	2	2	2	2	2	2	2	2	2	1
AT1G10830	1	2	2	2	2	2	2	2	2	2	1
AT5G20600	1	2	2	2	2	2	2	2	2	2	1
OG619_2	0	2	2	2	0	4	0	2	2	1	1
OG3495_1	0	2	2	2	0	2	0	2	2	2	1
OG3060_1	1	2	2	2	0	2	0	2	2	2	1
AT3G19630	1	1	2	2	0	2	0	2	2	1	1
AT5G42370	1	1	2	2	0	2	0	2	2	2	1
AT2G30160	1	0	2	2	0	2	0	2	2	2	1
OG667_2	1	0	1	2	0	2	0	2	2	2	1
OG3483_2	1	0	0	2	0	2	0	2	2	1	1
AT3G18880	1	1	0	1	0	2	0	2	2	2	1
AT3G19040	1	1	0	1	0	2	0	2	2	1	1
AT1G67620	1	1	0	1	0	2	0	2	2	1	1
OG334_1	1	1	0	1	0	2	0	2	2	1	1
OG77_5	0	1	0	1	0	2	0	2	2	1	1
OG12395_1	0	1	0	1	0	2	0	2	2	1	1
OG5516_2	0	1	0	1	0	2	0	2	2	1	1
AT4G33620	0	1	0	1	0	2	0	2	2	1	1
AT3G03140	0	1	0	1	0	2	1	2	2	1	1
AT3G15353	0	1	0	1	0	2	1	2	2	1	1
AT1G21270	0	1	0	1	0	2	1	2	2	1	1
AT5G55370	0	1	0	1	0	1	0	2	1	1	1
OG5860_1	0	1	0	1	0	2	0	2	1	1	1
OG8186_1	0	1	0	1	0	2	0	2	1	1	1
OG2535_1	0	1	0	1	0	2	0	2	1	1	1
OG3006_2	0	0	0	1	0	2	0	2	1	1	1
AT5G17840	0	0	0	1	1	2	0	2	1	1	1
OG4405_2	0	1	0	1	1	2	0	2	1	1	1
AT5G58210	0	1	1	1	0	2	1	2	1	1	1
OG9793_1	0	1	1	1	0	2	0	2	1	1	1
AT5G55460	0	1	1	1	0	2	0	2	1	1	1
OG631_2	0	0	1	1	0	2	0	2	1	1	1
OG2077_1	0	0	1	1	0	2	0	2	1	1	1
AT4G01880	0	0	1	1	0	2	0	2	1	1	1
AT2G33260	0	0	1	1	0	2	0	2	1	1	1
OG987_3	0	0	1	1	0	2	0	2	1	1	1
OG2639_1	0	0	1	1	1	2	0	2	1	1	1
AT4G29400	0	0	1	1	1	2	0	2	1	1	1
AT5G10080	0	0	1	1	1	2	0	2	1	1	1
AT1G20550	0	0	1	1	1	2	0	2	1	1	1
OG4664_1	1	0	1	1	1	2	0	2	1	1	1
AT5G15460	1	0	1	1	1	2	0	2	1	1	1
OG77_4	0	0	1	1	1	2	0	2	2	1	1
AT5G02480	0	0	1	1	1	2	0	2	2	1	1
OG2602_1	0	1	1	1	0	2	0	2	2	1	1
AT5G41920	0	1	1	1	0	2	0	2	2	1	1
AT3G17310	0	1	1	1	0	2	0	2	2	1	1
OG7527_1	0	1	1	1	0	2	0	2	2	1	1
OG4380_2	0	0	1	1	0	2	0	2	2	1	1
OG4693_2	0	0	1	1	0	2	0	2	2	1	1
AT4G22550	0	0	1	1	0	2	0	2	2	1	1
AT1G63020	0	0	1	1	0	2	0	2	2	1	1
AT3G47190	0	0	1	1	0	2	0	2	2	1	1
AT5G19151	0	0	1	1	0	2	0	2	2	1	1
AT3G60660	0	0	1	1	0	2	0	2	2	1	1
AT3G56570	0	0	1	1	0	2	0	2	2	1	1
OG5592_2	0	0	1	1	0	2	0	2	2	1	1
AT1G73066	0	0	1	1	0	2	0	2	2	1	1
OG4563_2	0	0	1	1	0	2	0	2	2	1	1
OG2821_2	0	0	1	1	0	2	0	2	2	1	1
AT5G10500	0	0	0	1	0	2	0	2	2	1	1
OG4677_2	0	0	0	1	0	2	0	2	2	1	1
AT2G24100	0	0	0	1	1	2	0	2	2	1	1
AT4G11110	0	0	0	0	1	2	0	2	2	1	1
AT1G65720	0	0	0	0	1	2	0	2	2	1	1
OG6865_1	0	0	0	0	1	2	0	2	2	1	1
AT5G17630	0	0	0	0	1	2	0	2	2	1	1
AT5G44370	0	0	0	0	1	2	0	2	2	1	1
AT1G61640	0	0	0	0	1	2	0	2	2	1	1
AT5G64920	0	0	0	0	1	2	0	2	1	1	1
AT5G47740	0	0	0	0	1	2	0	2	1	1	1
AT3G06140	0	0	0	0	1	2	0	2	1	1	1
AT2G02370	0	0	0	0	1	2	0	2	1	1	1
OG12034_1	0	0	0	0	1	2	0	2	1	1	1
OG10916_2	0	0	0	0	1	2	0	2	1	1	1
AT3G14430	0	0	0	0	1	2	0	2	1	1	1
AT3G62260	0	0	0	0	1	2	0	2	1	1	1
OG3342_1	0	0	0	0	1	2	0	2	1	1	1
OG1558_1	0	0	0	0	1	2	0	2	1	1	1
AT2G02970	1	0	0	0	1	2	0	2	1	1	1
AT4G20920	1	0	0	0	1	2	0	2	1	1	1
AT4G30150	1	0	0	0	0	2	0	2	1	1	1
AT3G07370	1	0	0	0	0	2	0	2	2	1	1
OG7198_2	1	0	0	0	0	2	0	2	2	2	1
AT4G30250	1	0	0	0	0	2	0	2	2	2	1
OG7675_2	0	0	0	0	0	2	0	2	2	2	1
AT1G26810	0	0	0	0	0	2	0	2	2	2	1
OG1225_3	0	0	0	0	0	2	0	2	2	2	1
AT1G74440	0	0	0	0	0	2	0	2	2	2	1
OG5111_2	0	0	0	0	0	2	0	2	2	2	1
OG2235_3	0	0	0	0	0	2	0	2	2	2	1
OG4485_3	0	0	0	0	0	2	0	2	2	2	1
OG5475_3	0	0	0	0	0	2	0	2	2	2	1
OG1116_3	0	0	0	0	0	2	0	2	2	2	1
AT5G24040	0	0	0	0	0	2	0	2	1	1	1
OG10887_1	0	0	0	0	0	2	0	2	1	1	1
AT1G55920	0	0	0	0	0	2	0	2	1	1	1
OG1202_4	0	0	0	0	0	2	0	2	1	1	1
OG8420_1	0	0	0	0	0	2	0	2	1	1	1
AT5G47240	0	0	0	0	0	2	0	2	1	1	1
OG8945_2	0	0	0	0	0	2	0	2	1	1	1
OG1402_3	0	0	0	0	0	2	0	2	1	1	1
OG10127_2	0	0	0	0	0	2	0	2	1	1	1
AT1G61930	0	0	0	0	0	2	0	2	1	1	1
OG737_4	0	0	0	0	0	2	0	2	1	1	1
AT3G54740	0	0	0	0	0	2	0	2	1	1	1
AT1G08540	0	0	0	0	0	2	0	2	2	1	1
OG518_4	0	0	0	0	0	2	0	2	2	1	1
OG8214_2	0	0	0	0	0	2	0	2	2	1	1
OG2821_3	0	0	0	0	0	2	0	2	2	1	1
OG7806_2	0	0	0	0	0	2	0	2	2	1	1
OG3541_3	0	0	0	0	0	2	0	2	2	1	1
OG7424_2	0	0	0	0	0	2	0	2	2	1	1
OG1852_1	0	0	0	0	0	2	0	2	2	1	1
OG4531_2	0	0	0	0	0	2	0	2	2	1	1
AT1G27380	0	0	0	0	0	2	0	2	2	1	1
OG3406_2	0	0	0	0	0	2	0	2	2	1	1
OG2873_3	0	0	0	0	0	2	0	2	2	1	1
AT2G26330	0	0	0	0	0	2	0	2	2	1	1
OG2226_3	0	0	0	0	0	2	0	2	2	1	1
OG773_4	0	0	0	0	0	2	0	2	2	1	1
OG5576_1	0	0	0	0	0	2	0	2	2	1	1
AT3G47710	0	0	0	0	0	2	0	2	2	1	1
OG3186_1	0	0	0	0	0	2	0	2	2	1	1
OG394_2	0	0	0	0	0	2	0	2	2	1	1
OG77_12	0	0	0	0	0	2	0	2	2	1	1
OG77_10	0	0	0	0	0	2	0	2	2	1	1
OG77_8	0	0	0	0	0	2	0	2	2	1	1
AT2G28130	0	0	0	0	0	2	0	2	2	1	1
AT5G03720	0	0	0	0	0	2	0	2	2	1	1
OG77_6	0	0	0	0	0	2	0	2	2	1	1
OG13638_1	0	0	0	0	0	2	0	1	2	1	1
AT5G45960	0	0	0	0	0	2	0	1	2	1	1
AT3G51750	0	0	0	0	0	2	1	1	2	1	1
AT5G28300	0	0	0	0	0	2	1	1	2	1	1
AT4G38660	0	0	0	0	0	2	1	1	1	1	1
AT4G33000	0	0	0	0	0	2	1	1	1	1	1
AT3G22942	0	0	0	0	1	2	1	1	1	1	1
OG6111_1	0	0	0	0	1	2	0	1	1	1	1
OG555_4	0	0	0	1	2	2	0	1	1	1	1
AT3G26980	0	1	0	1	1	2	1	1	1	1	1
AT5G43720	1	1	0	1	1	1	1	1	1	1	1
AT1G75380	1	0	0	1	1	1	1	1	1	1	1
AT5G08630	1	0	0	1	1	1	1	1	1	1	1
AT5G60335	1	0	0	1	0	1	1	1	1	1	1
AT3G28180	1	0	0	1	0	2	1	1	1	1	1
AT5G24890	1	0	0	1	0	2	1	2	1	1	1
AT5G44160	0	0	0	1	1	1	1	2	1	1	1
AT1G10550	0	0	0	0	1	2	2	1	1	2	1
AT3G05200	0	0	0	0	1	1	2	1	1	1	1
AT1G48270	0	0	0	0	1	1	1	2	2	1	1
AT3G08980	0	0	0	0	1	2	1	2	2	1	1
AT5G56980	0	0	0	0	1	2	2	2	2	1	1
AT5G67470	0	0	0	0	1	2	2	2	1	1	1
AT5G09270	0	0	0	0	1	2	2	2	1	1	1
AT4G17230	0	0	0	0	1	2	2	2	1	1	1
AT5G16890	0	0	0	0	1	2	2	2	1	1	1
AT1G19485	0	0	0	0	1	2	2	2	1	1	1
AT1G04010	1	0	0	0	1	2	2	2	1	1	1
AT1G16280	1	0	0	0	1	2	2	2	1	1	1
AT3G57420	1	0	0	0	1	2	2	2	1	1	1
AT4G16700	0	0	0	0	1	2	1	2	1	1	1
AT5G19080	0	0	0	0	0	2	1	2	1	1	1
AT3G24880	0	0	0	0	0	2	2	2	1	1	1
AT4G29530	1	0	0	0	0	2	2	2	1	1	1
AT4G17090	1	0	0	0	0	2	2	2	2	1	1
AT5G12430	1	0	0	0	0	2	2	2	2	1	1
AT4G16444	1	0	0	0	0	2	2	2	2	1	1
AT1G58250	1	0	0	0	0	2	2	2	2	1	1
AT5G59960	1	0	0	0	0	2	2	2	2	1	1
AT3G08505	1	0	0	0	0	2	2	2	2	1	1
AT1G26660	1	0	0	0	0	2	2	2	2	2	1
AT3G27460	1	0	0	0	0	2	2	2	2	2	1
AT1G11780	1	0	0	0	0	2	2	2	2	2	1
AT4G30990	1	0	0	0	0	2	2	2	2	2	1
AT4G19350	1	0	0	0	0	2	1	2	2	2	1
AT1G36990	1	0	0	0	0	2	1	2	2	1	1
AT4G33810	0	0	0	0	0	2	1	2	2	1	1
AT2G36200	0	0	0	0	0	2	1	2	2	1	1
AT5G60470	0	0	0	0	0	2	1	2	2	1	1
AT4G27745	0	0	0	0	0	1	2	2	2	1	1
AT2G17030	0	0	0	0	0	2	2	2	2	1	1
AT5G62500	0	0	0	0	0	2	2	2	2	1	1
AT4G07950	0	0	0	0	0	2	2	2	2	1	1
AT1G70100	0	0	0	0	0	2	2	2	2	1	1
AT1G29820	0	0	0	0	0	2	2	2	2	1	1
AT1G45688	0	0	0	0	0	2	2	2	2	1	1
AT3G24040	0	0	0	0	0	2	2	2	2	1	1
AT4G36660	0	0	0	0	0	2	2	2	2	1	1
AT3G56370	0	0	0	0	0	2	2	2	2	1	1
AT2G47070	0	0	0	0	0	2	2	2	2	1	1
AT5G19840	0	0	0	0	0	2	2	2	2	2	1
AT4G38270	0	0	0	1	1	2	2	2	2	1	1
AT4G35320	0	0	0	1	0	2	2	2	2	1	1
AT3G49250	0	0	0	1	0	2	2	2	2	1	1
AT1G50620	0	0	0	1	0	2	2	2	2	1	1
AT3G25500	0	1	0	1	0	2	2	2	2	1	1
AT2G46915	0	1	0	1	0	2	2	2	2	1	1
AT1G55520	0	1	0	1	0	2	2	2	2	1	1
AT3G05270	0	1	1	1	0	2	2	2	2	1	1
AT3G08670	0	1	1	1	0	2	2	2	2	1	1
AT3G14910	0	1	1	1	0	2	2	2	2	1	1
AT5G02710	0	1	1	1	0	2	2	2	2	1	1
AT5G42860	0	1	1	1	0	2	2	2	2	1	1
AT4G16100	0	0	1	1	0	2	2	2	2	1	1
AT2G03667	0	0	1	1	0	2	2	2	2	1	1
AT3G47690	0	0	1	1	0	2	2	2	2	1	1
AT1G02180	0	0	1	1	0	2	2	2	2	1	1
AT1G13960	0	0	1	1	0	2	2	2	2	1	1
AT3G25980	0	0	1	1	0	2	2	2	2	1	1
AT5G56090	0	0	1	1	0	2	2	2	2	1	1
AT2G39340	0	0	1	1	0	2	2	2	2	1	1
AT3G18380	0	0	1	1	0	2	2	2	2	1	1
AT1G09450	0	0	1	1	0	2	2	2	2	1	1
AT1G69640	0	0	1	1	0	2	2	2	2	1	1
AT1G24267	0	0	1	1	0	2	2	2	2	1	1
AT4G11130	0	0	1	1	0	2	2	2	2	1	1
AT5G19980	0	0	1	1	0	2	2	2	2	1	1
AT1G80640	0	0	1	1	0	2	2	2	2	1	1
AT1G72090	1	0	1	1	0	2	2	2	2	1	1
AT4G04330	1	0	1	1	0	2	2	2	2	1	1
AT3G10970	1	0	1	1	0	2	2	2	2	1	1
AT5G40850	1	0	1	1	0	2	2	2	2	1	1
AT2G44580	1	0	1	1	0	2	2	2	2	1	1
AT5G15390	1	0	1	1	0	2	2	2	2	1	1
AT5G35980	1	0	1	1	0	2	2	2	2	1	1
AT5G15050	1	0	1	1	0	2	1	2	2	1	1
AT5G08120	1	1	1	1	0	2	2	2	2	1	1
AT5G01230	1	1	1	1	0	2	2	2	2	1	1
AT3G25585	1	1	0	1	0	2	2	2	2	1	1
AT1G77030	1	1	0	1	0	2	2	2	2	1	1
AT2G01830	1	1	0	1	0	2	2	2	2	1	1
AT1G32090	1	1	0	1	0	2	2	2	2	2	1
AT1G60995	1	1	0	1	0	2	2	2	1	1	1
AT5G06700	0	1	0	1	0	2	2	2	1	1	1
AT5G25930	0	1	0	1	0	1	2	2	1	1	1
AT5G21010	0	1	1	1	1	2	1	2	1	1	1
AT1G01200	0	0	1	1	1	2	1	2	1	1	1
AT1G71190	0	0	1	1	1	2	1	2	1	1	1
AT3G20510	0	0	1	1	0	2	2	2	1	1	1
AT5G18630	0	0	1	1	1	2	2	2	1	1	1
AT4G03960	0	0	1	1	1	2	2	2	1	1	1
AT5G23920	0	0	1	1	1	2	2	2	1	1	1
AT3G17090	0	0	1	1	1	2	2	2	1	1	1
AT5G42660	0	0	1	1	1	2	2	2	1	1	1
AT1G14340	0	0	0	1	1	2	2	2	1	1	1
AT2G40940	0	1	0	1	1	2	2	2	1	1	1
AT4G34960	0	1	1	1	1	2	2	2	1	1	1
AT3G52220	0	1	1	1	1	2	2	2	1	1	1
AT1G79720	0	1	1	1	1	2	2	2	1	1	1
AT5G57990	0	1	1	1	1	2	2	2	1	1	1
AT1G16000	1	1	1	1	1	2	2	2	1	1	1
AT5G19590	1	0	1	1	1	2	2	2	1	1	1
AT2G25620	1	0	1	1	1	2	2	2	1	1	1
AT5G66730	0	0	1	1	2	2	2	2	1	1	1
AT1G27760	0	0	1	1	2	2	2	2	2	1	1
AT2G15240	0	0	1	1	2	2	2	2	2	1	1
AT3G05100	0	0	1	1	2	2	2	2	2	1	1
AT4G22740	0	0	1	1	2	2	2	2	2	1	1
AT2G38290	0	0	1	1	2	2	2	2	2	2	1
AT2G47420	1	0	1	1	2	2	2	2	2	1	1
AT3G52760	1	0	1	1	2	2	2	2	2	1	1
AT2G46260	1	0	1	1	2	2	1	2	2	1	1
AT5G40300	0	0	1	1	2	2	1	2	2	1	1
AT5G48545	0	0	1	1	2	2	1	2	2	1	1
AT3G27100	0	0	1	1	2	2	1	2	2	1	1
AT5G07780	0	0	1	1	2	2	1	2	2	1	1
AT1G55080	0	1	1	1	2	2	1	2	2	1	1
AT2G31410	0	1	1	1	2	2	2	2	2	1	1
AT3G56510	0	1	1	1	2	2	2	2	2	1	1
AT4G02630	0	1	1	1	2	2	2	2	2	1	1
AT2G46230	0	1	0	1	2	2	2	2	2	1	1
AT3G55340	0	1	0	1	2	2	2	2	2	1	1
AT2G37570	0	0	0	1	2	2	2	2	2	1	1
AT2G02810	0	0	0	1	2	2	2	2	2	1	1
AT3G51950	0	0	0	1	2	2	2	2	2	1	1
AT3G61710	0	0	0	1	2	2	2	2	2	1	1
AT5G49220	0	0	0	1	2	2	2	2	2	1	1
AT3G01435	1	0	0	1	2	2	2	2	2	1	1
AT5G51880	1	1	0	1	2	2	2	2	2	1	1
AT1G32810	1	1	0	1	2	2	2	2	2	1	1
AT2G24260	1	0	0	1	1	2	2	2	2	1	1
AT5G39840	1	0	0	0	1	2	2	2	2	1	1
AT2G29900	1	0	0	0	2	2	2	2	2	1	1
AT1G06790	1	0	0	0	2	2	2	2	2	1	1
AT3G50860	1	0	0	0	2	2	2	2	2	1	1
AT4G31115	1	0	0	0	2	2	2	2	2	1	1
AT1G75980	1	0	0	0	2	2	2	2	2	2	1
AT5G51130	1	0	0	0	2	2	2	2	2	2	1
AT4G03210	1	0	0	0	2	2	2	2	2	2	1
AT1G49400	0	0	0	0	2	2	2	2	2	2	1
AT5G10710	0	0	0	0	2	2	2	2	2	2	1
AT3G51100	0	0	0	0	2	2	2	2	2	1	1
AT1G69010	0	0	0	0	2	2	2	2	2	1	1
AT1G19240	0	0	0	0	2	1	1	1	2	1	1
AT2G13810	0	0	0	0	2	1	0	1	2	1	1
OG1157_3	0	0	0	0	2	1	0	1	2	1	1
AT3G19640	0	0	0	0	2	2	1	2	2	1	1
AT3G10070	1	0	0	0	2	2	1	2	2	1	1
AT1G21651	1	0	0	0	2	2	0	2	2	1	1
AT2G15560	1	0	0	0	2	2	0	2	2	1	1
OG1551_1	0	0	0	0	2	2	0	2	2	1	1
AT4G23610	0	0	0	0	2	2	0	2	2	1	1
OG4860_1	0	0	0	0	2	2	0	2	2	1	1
OG4313_2	0	0	0	0	2	2	0	2	2	1	1
OG2988_3	0	0	0	0	2	2	0	2	2	1	1
AT2G32020	0	0	0	0	2	2	0	2	2	1	1
AT1G27470	0	0	0	0	2	2	0	2	2	2	1
OG1929_2	0	0	1	1	2	2	0	2	2	2	1
OG3933_2	0	0	1	2	2	2	0	2	2	2	1
AT3G01210	0	0	1	1	2	2	0	2	2	1	1
AT2G01770	0	0	1	1	2	2	0	2	2	1	1
AT3G29390	0	0	1	1	2	2	0	2	2	1	1
AT2G17990	0	1	1	1	2	2	0	2	2	1	1
OG5163_1	0	1	1	1	2	2	0	2	2	1	1
OG595_4	0	1	0	1	2	2	0	2	2	1	1
AT3G60030	0	0	0	1	2	2	0	2	2	1	1
AT1G67660	1	0	0	1	2	2	0	2	2	1	1
OG8050_1	1	0	1	1	2	2	0	2	2	1	1
AT4G24740	1	0	2	2	1	1	0	1	1	1	1
OG5744_1	1	0	2	2	1	1	0	1	1	1	1
AT5G28640	0	0	2	2	0	1	0	1	1	1	1
AT2G34620	0	0	2	2	0	1	1	1	1	1	1
AT5G17640	0	0	2	2	1	1	1	1	1	1	1
AT2G18940	0	0	2	2	1	0	1	1	1	1	1
AT5G52780	0	0	2	2	1	0	1	1	1	1	1
AT1G02870	0	2	2	2	1	1	1	1	1	1	1
AT2G06010	0	2	2	2	0	1	1	1	1	1	1
AT3G13740	0	1	2	2	0	1	1	1	1	1	1
OG126_3	0	0	2	2	0	0	0	0	0	1	1
OG5409_1	0	0	2	2	0	0	0	0	0	1	1
OG6323_2	0	0	1	2	0	0	0	0	0	2	1
OG8312_2	0	0	1	2	0	0	0	0	0	2	1
OG6172_2	0	0	2	2	0	0	0	0	0	2	1
OG6963_2	0	0	2	2	0	0	0	0	0	2	1
OG3495_3	0	0	2	2	0	0	0	0	0	2	1
OG5907_2	1	0	2	2	0	0	0	0	0	2	1
OG7555_1	1	0	2	2	0	0	0	0	0	2	1
OG5475_1	1	0	2	2	0	0	0	0	0	2	1
OG3483_1	1	2	2	2	0	0	0	0	0	2	1
OG1051_1	0	2	2	2	0	0	0	0	0	2	1
OG2393_2	0	2	0	2	1	0	0	0	1	1	1
OG3060_2	1	2	0	2	0	0	0	0	0	2	1
OG1848_2	2	1	1	1	0	0	0	0	0	1	1
OG4682_2	2	0	1	1	0	0	0	0	0	1	1
OG8375_1	2	1	1	1	0	0	0	0	1	1	1
AT4G24970	1	1	1	1	0	1	0	1	1	1	1
AT1G56180	1	1	1	1	0	1	0	1	1	1	1
AT2G19270	1	1	1	1	0	1	0	1	1	1	1
AT5G57930	1	1	1	1	0	1	0	1	1	1	1
OG8907_1	1	1	0	1	0	1	0	1	1	1	1
AT3G25470	1	1	0	1	0	1	0	1	1	1	1
AT1G76340	1	1	0	1	0	1	0	1	1	1	1
AT3G63070	1	1	0	1	0	0	1	1	1	1	1
AT4G26540	0	1	0	1	0	0	1	1	1	1	1
AT1G76580	0	1	0	1	0	0	1	1	1	1	1
AT5G01890	0	1	0	1	0	0	1	1	1	1	1
AT1G61000	0	1	0	1	0	0	1	1	1	1	1
AT1G74660	0	1	0	1	0	0	1	1	1	1	1
AT5G49430	0	1	0	1	0	0	1	1	1	1	1
AT5G58600	0	1	0	1	0	0	1	1	1	1	1
